CD_MEDICAMENT;NOM_MEDICAMENT;CONDIT_MEDICAMENT;CATG_MEDICAMENT;MARQUE_FABRI
478;Medicament478;Cond8;CategoryMed44;MarqueMed15
479;Medicament479;Cond11;CategoryMed34;MarqueMed6
480;Medicament480;Cond9;CategoryMed43;MarqueMed10
481;Medicament481;Cond10;CategoryMed8;MarqueMed15
482;Medicament482;Cond3;CategoryMed25;MarqueMed19
483;Medicament483;Cond4;CategoryMed44;MarqueMed23
484;Medicament484;Cond5;CategoryMed15;MarqueMed1
485;Medicament485;Cond2;CategoryMed47;MarqueMed10
486;Medicament486;Cond4;CategoryMed23;MarqueMed1
487;Medicament487;Cond10;CategoryMed5;MarqueMed22
488;Medicament488;Cond12;CategoryMed36;MarqueMed1
489;Medicament489;Cond11;CategoryMed26;MarqueMed17
490;Medicament490;Cond7;CategoryMed37;MarqueMed2
491;Medicament491;Cond9;CategoryMed10;MarqueMed5
492;Medicament492;Cond12;CategoryMed10;MarqueMed3
493;Medicament493;Cond9;CategoryMed26;MarqueMed4
494;Medicament494;Cond11;CategoryMed44;MarqueMed14
495;Medicament495;Cond10;CategoryMed3;MarqueMed6
496;Medicament496;Cond13;CategoryMed11;MarqueMed16
497;Medicament497;Cond4;CategoryMed14;MarqueMed2
498;Medicament498;Cond3;CategoryMed17;MarqueMed16
499;Medicament499;Cond9;CategoryMed33;MarqueMed15
500;Medicament500;Cond1;CategoryMed42;MarqueMed3
501;Medicament501;Cond2;CategoryMed33;MarqueMed12
502;Medicament502;Cond3;CategoryMed16;MarqueMed7
503;Medicament503;Cond2;CategoryMed32;MarqueMed21
504;Medicament504;Cond12;CategoryMed28;MarqueMed3
505;Medicament505;Cond6;CategoryMed3;MarqueMed19
506;Medicament506;Cond8;CategoryMed42;MarqueMed18
507;Medicament507;Cond9;CategoryMed47;MarqueMed1
508;Medicament508;Cond9;CategoryMed34;MarqueMed2
509;Medicament509;Cond6;CategoryMed26;MarqueMed10
510;Medicament510;Cond10;CategoryMed26;MarqueMed15
511;Medicament511;Cond3;CategoryMed22;MarqueMed17
512;Medicament512;Cond9;CategoryMed22;MarqueMed15
513;Medicament513;Cond6;CategoryMed5;MarqueMed11
514;Medicament514;Cond10;CategoryMed3;MarqueMed2
515;Medicament515;Cond4;CategoryMed44;MarqueMed1
516;Medicament516;Cond11;CategoryMed30;MarqueMed11
517;Medicament517;Cond11;CategoryMed49;MarqueMed3
518;Medicament518;Cond8;CategoryMed37;MarqueMed7
519;Medicament519;Cond12;CategoryMed45;MarqueMed12
520;Medicament520;Cond13;CategoryMed13;MarqueMed21
521;Medicament521;Cond6;CategoryMed6;MarqueMed13
522;Medicament522;Cond5;CategoryMed4;MarqueMed17
523;Medicament523;Cond9;CategoryMed35;MarqueMed8
524;Medicament524;Cond1;CategoryMed42;MarqueMed6
525;Medicament525;Cond4;CategoryMed45;MarqueMed19
526;Medicament526;Cond10;CategoryMed5;MarqueMed1
527;Medicament527;Cond13;CategoryMed29;MarqueMed19
528;Medicament528;Cond13;CategoryMed28;MarqueMed13
529;Medicament529;Cond3;CategoryMed7;MarqueMed19
530;Medicament530;Cond4;CategoryMed47;MarqueMed17
531;Medicament531;Cond2;CategoryMed37;MarqueMed7
532;Medicament532;Cond8;CategoryMed42;MarqueMed21
533;Medicament533;Cond9;CategoryMed8;MarqueMed15
534;Medicament534;Cond1;CategoryMed22;MarqueMed19
535;Medicament535;Cond8;CategoryMed30;MarqueMed15
536;Medicament536;Cond1;CategoryMed20;MarqueMed15
537;Medicament537;Cond13;CategoryMed45;MarqueMed3
538;Medicament538;Cond10;CategoryMed26;MarqueMed14
539;Medicament539;Cond6;CategoryMed27;MarqueMed7
540;Medicament540;Cond12;CategoryMed2;MarqueMed5
541;Medicament541;Cond5;CategoryMed50;MarqueMed23
542;Medicament542;Cond5;CategoryMed12;MarqueMed20
543;Medicament543;Cond13;CategoryMed10;MarqueMed10
544;Medicament544;Cond3;CategoryMed24;MarqueMed5
545;Medicament545;Cond4;CategoryMed20;MarqueMed17
546;Medicament546;Cond12;CategoryMed27;MarqueMed8
547;Medicament547;Cond13;CategoryMed5;MarqueMed21
548;Medicament548;Cond4;CategoryMed10;MarqueMed3
549;Medicament549;Cond7;CategoryMed14;MarqueMed11
550;Medicament550;Cond3;CategoryMed5;MarqueMed10
551;Medicament551;Cond4;CategoryMed12;MarqueMed11
552;Medicament552;Cond11;CategoryMed24;MarqueMed5
553;Medicament553;Cond3;CategoryMed25;MarqueMed21
554;Medicament554;Cond2;CategoryMed11;MarqueMed8
555;Medicament555;Cond9;CategoryMed17;MarqueMed22
556;Medicament556;Cond4;CategoryMed32;MarqueMed5
557;Medicament557;Cond5;CategoryMed19;MarqueMed17
558;Medicament558;Cond13;CategoryMed11;MarqueMed17
559;Medicament559;Cond12;CategoryMed7;MarqueMed9
560;Medicament560;Cond10;CategoryMed19;MarqueMed14
561;Medicament561;Cond7;CategoryMed41;MarqueMed23
562;Medicament562;Cond1;CategoryMed44;MarqueMed9
563;Medicament563;Cond3;CategoryMed25;MarqueMed23
564;Medicament564;Cond2;CategoryMed28;MarqueMed20
565;Medicament565;Cond11;CategoryMed17;MarqueMed20
566;Medicament566;Cond13;CategoryMed7;MarqueMed10
567;Medicament567;Cond10;CategoryMed37;MarqueMed11
568;Medicament568;Cond12;CategoryMed4;MarqueMed3
569;Medicament569;Cond7;CategoryMed6;MarqueMed4
570;Medicament570;Cond10;CategoryMed39;MarqueMed17
571;Medicament571;Cond12;CategoryMed5;MarqueMed5
572;Medicament572;Cond7;CategoryMed30;MarqueMed4
573;Medicament573;Cond10;CategoryMed41;MarqueMed22
574;Medicament574;Cond13;CategoryMed16;MarqueMed9
575;Medicament575;Cond3;CategoryMed7;MarqueMed14
576;Medicament576;Cond5;CategoryMed5;MarqueMed13
577;Medicament577;Cond8;CategoryMed8;MarqueMed3
578;Medicament578;Cond6;CategoryMed14;MarqueMed22
579;Medicament579;Cond2;CategoryMed4;MarqueMed16
580;Medicament580;Cond7;CategoryMed27;MarqueMed23
581;Medicament581;Cond13;CategoryMed7;MarqueMed20
582;Medicament582;Cond2;CategoryMed32;MarqueMed19
583;Medicament583;Cond4;CategoryMed7;MarqueMed21
584;Medicament584;Cond11;CategoryMed15;MarqueMed8
585;Medicament585;Cond10;CategoryMed42;MarqueMed23
586;Medicament586;Cond12;CategoryMed14;MarqueMed16
587;Medicament587;Cond7;CategoryMed26;MarqueMed23
588;Medicament588;Cond11;CategoryMed8;MarqueMed4
589;Medicament589;Cond9;CategoryMed16;MarqueMed20
590;Medicament590;Cond13;CategoryMed31;MarqueMed23
591;Medicament591;Cond11;CategoryMed46;MarqueMed18
592;Medicament592;Cond9;CategoryMed1;MarqueMed18
593;Medicament593;Cond9;CategoryMed42;MarqueMed17
594;Medicament594;Cond5;CategoryMed2;MarqueMed2
595;Medicament595;Cond5;CategoryMed19;MarqueMed5
596;Medicament596;Cond8;CategoryMed31;MarqueMed7
597;Medicament597;Cond2;CategoryMed18;MarqueMed10
598;Medicament598;Cond5;CategoryMed8;MarqueMed22
599;Medicament599;Cond10;CategoryMed35;MarqueMed2
600;Medicament600;Cond8;CategoryMed6;MarqueMed15
601;Medicament601;Cond11;CategoryMed42;MarqueMed11
602;Medicament602;Cond7;CategoryMed50;MarqueMed19
603;Medicament603;Cond1;CategoryMed8;MarqueMed21
604;Medicament604;Cond8;CategoryMed9;MarqueMed4
605;Medicament605;Cond1;CategoryMed17;MarqueMed14
606;Medicament606;Cond13;CategoryMed25;MarqueMed3
607;Medicament607;Cond2;CategoryMed48;MarqueMed7
608;Medicament608;Cond6;CategoryMed11;MarqueMed1
609;Medicament609;Cond2;CategoryMed26;MarqueMed5
610;Medicament610;Cond11;CategoryMed27;MarqueMed3
611;Medicament611;Cond11;CategoryMed42;MarqueMed12
612;Medicament612;Cond2;CategoryMed35;MarqueMed18
613;Medicament613;Cond9;CategoryMed30;MarqueMed1
614;Medicament614;Cond8;CategoryMed30;MarqueMed5
615;Medicament615;Cond10;CategoryMed50;MarqueMed10
616;Medicament616;Cond9;CategoryMed28;MarqueMed18
617;Medicament617;Cond11;CategoryMed31;MarqueMed13
618;Medicament618;Cond11;CategoryMed33;MarqueMed9
619;Medicament619;Cond4;CategoryMed9;MarqueMed11
620;Medicament620;Cond1;CategoryMed44;MarqueMed14
621;Medicament621;Cond10;CategoryMed46;MarqueMed18
622;Medicament622;Cond11;CategoryMed7;MarqueMed7
623;Medicament623;Cond12;CategoryMed2;MarqueMed12
624;Medicament624;Cond2;CategoryMed45;MarqueMed22
625;Medicament625;Cond10;CategoryMed22;MarqueMed18
626;Medicament626;Cond5;CategoryMed27;MarqueMed15
627;Medicament627;Cond12;CategoryMed28;MarqueMed18
628;Medicament628;Cond3;CategoryMed3;MarqueMed13
629;Medicament629;Cond11;CategoryMed37;MarqueMed5
630;Medicament630;Cond4;CategoryMed48;MarqueMed9
631;Medicament631;Cond5;CategoryMed37;MarqueMed3
632;Medicament632;Cond11;CategoryMed6;MarqueMed21
633;Medicament633;Cond1;CategoryMed24;MarqueMed20
634;Medicament634;Cond11;CategoryMed19;MarqueMed23
635;Medicament635;Cond1;CategoryMed30;MarqueMed2
636;Medicament636;Cond12;CategoryMed11;MarqueMed2
637;Medicament637;Cond4;CategoryMed32;MarqueMed22
638;Medicament638;Cond5;CategoryMed21;MarqueMed9
639;Medicament639;Cond13;CategoryMed1;MarqueMed15
640;Medicament640;Cond5;CategoryMed14;MarqueMed21
641;Medicament641;Cond12;CategoryMed30;MarqueMed23
642;Medicament642;Cond9;CategoryMed10;MarqueMed21
643;Medicament643;Cond7;CategoryMed11;MarqueMed23
644;Medicament644;Cond3;CategoryMed41;MarqueMed9
645;Medicament645;Cond6;CategoryMed23;MarqueMed9
646;Medicament646;Cond9;CategoryMed38;MarqueMed17
647;Medicament647;Cond9;CategoryMed9;MarqueMed8
648;Medicament648;Cond4;CategoryMed44;MarqueMed12
649;Medicament649;Cond11;CategoryMed10;MarqueMed14
650;Medicament650;Cond11;CategoryMed29;MarqueMed7
651;Medicament651;Cond12;CategoryMed14;MarqueMed20
652;Medicament652;Cond1;CategoryMed36;MarqueMed16
653;Medicament653;Cond12;CategoryMed10;MarqueMed1
654;Medicament654;Cond12;CategoryMed49;MarqueMed5
655;Medicament655;Cond5;CategoryMed33;MarqueMed19
656;Medicament656;Cond9;CategoryMed44;MarqueMed17
657;Medicament657;Cond10;CategoryMed9;MarqueMed11
658;Medicament658;Cond13;CategoryMed35;MarqueMed5
659;Medicament659;Cond3;CategoryMed26;MarqueMed2
660;Medicament660;Cond10;CategoryMed30;MarqueMed17
661;Medicament661;Cond13;CategoryMed15;MarqueMed10
662;Medicament662;Cond2;CategoryMed49;MarqueMed10
663;Medicament663;Cond10;CategoryMed34;MarqueMed18
664;Medicament664;Cond10;CategoryMed25;MarqueMed6
665;Medicament665;Cond10;CategoryMed1;MarqueMed3
666;Medicament666;Cond13;CategoryMed41;MarqueMed11
667;Medicament667;Cond10;CategoryMed35;MarqueMed18
668;Medicament668;Cond3;CategoryMed41;MarqueMed20
669;Medicament669;Cond1;CategoryMed46;MarqueMed19
670;Medicament670;Cond10;CategoryMed3;MarqueMed3
671;Medicament671;Cond9;CategoryMed39;MarqueMed4
672;Medicament672;Cond4;CategoryMed3;MarqueMed20
673;Medicament673;Cond9;CategoryMed24;MarqueMed5
674;Medicament674;Cond1;CategoryMed4;MarqueMed19
675;Medicament675;Cond11;CategoryMed14;MarqueMed1
676;Medicament676;Cond8;CategoryMed11;MarqueMed5
677;Medicament677;Cond4;CategoryMed44;MarqueMed16
678;Medicament678;Cond3;CategoryMed34;MarqueMed11
679;Medicament679;Cond3;CategoryMed47;MarqueMed22
680;Medicament680;Cond3;CategoryMed33;MarqueMed2
681;Medicament681;Cond10;CategoryMed17;MarqueMed9
682;Medicament682;Cond5;CategoryMed3;MarqueMed22
683;Medicament683;Cond1;CategoryMed41;MarqueMed5
684;Medicament684;Cond8;CategoryMed48;MarqueMed12
685;Medicament685;Cond2;CategoryMed42;MarqueMed6
686;Medicament686;Cond12;CategoryMed44;MarqueMed14
687;Medicament687;Cond2;CategoryMed29;MarqueMed10
688;Medicament688;Cond7;CategoryMed37;MarqueMed14
689;Medicament689;Cond5;CategoryMed3;MarqueMed13
690;Medicament690;Cond5;CategoryMed1;MarqueMed6
691;Medicament691;Cond1;CategoryMed48;MarqueMed10
692;Medicament692;Cond11;CategoryMed12;MarqueMed17
693;Medicament693;Cond1;CategoryMed12;MarqueMed12
694;Medicament694;Cond11;CategoryMed28;MarqueMed16
695;Medicament695;Cond9;CategoryMed23;MarqueMed2
696;Medicament696;Cond2;CategoryMed19;MarqueMed13
697;Medicament697;Cond5;CategoryMed18;MarqueMed17
698;Medicament698;Cond7;CategoryMed27;MarqueMed13
699;Medicament699;Cond3;CategoryMed27;MarqueMed12
700;Medicament700;Cond2;CategoryMed50;MarqueMed14
701;Medicament701;Cond7;CategoryMed36;MarqueMed7
702;Medicament702;Cond10;CategoryMed13;MarqueMed16
703;Medicament703;Cond3;CategoryMed1;MarqueMed19
704;Medicament704;Cond3;CategoryMed48;MarqueMed19
705;Medicament705;Cond8;CategoryMed1;MarqueMed5
706;Medicament706;Cond5;CategoryMed22;MarqueMed4
707;Medicament707;Cond5;CategoryMed14;MarqueMed20
708;Medicament708;Cond6;CategoryMed31;MarqueMed20
709;Medicament709;Cond1;CategoryMed34;MarqueMed1
710;Medicament710;Cond9;CategoryMed14;MarqueMed5
711;Medicament711;Cond8;CategoryMed19;MarqueMed9
712;Medicament712;Cond9;CategoryMed49;MarqueMed18
713;Medicament713;Cond3;CategoryMed37;MarqueMed4
714;Medicament714;Cond4;CategoryMed34;MarqueMed18
715;Medicament715;Cond8;CategoryMed8;MarqueMed14
716;Medicament716;Cond9;CategoryMed29;MarqueMed14
717;Medicament717;Cond10;CategoryMed18;MarqueMed10
718;Medicament718;Cond13;CategoryMed4;MarqueMed5
719;Medicament719;Cond4;CategoryMed46;MarqueMed8
720;Medicament720;Cond11;CategoryMed7;MarqueMed9
721;Medicament721;Cond7;CategoryMed35;MarqueMed20
722;Medicament722;Cond7;CategoryMed5;MarqueMed7
723;Medicament723;Cond7;CategoryMed47;MarqueMed18
724;Medicament724;Cond12;CategoryMed37;MarqueMed10
725;Medicament725;Cond13;CategoryMed2;MarqueMed4
726;Medicament726;Cond13;CategoryMed45;MarqueMed14
727;Medicament727;Cond8;CategoryMed17;MarqueMed8
728;Medicament728;Cond2;CategoryMed32;MarqueMed22
729;Medicament729;Cond2;CategoryMed35;MarqueMed19
730;Medicament730;Cond13;CategoryMed44;MarqueMed14
731;Medicament731;Cond6;CategoryMed38;MarqueMed11
732;Medicament732;Cond2;CategoryMed27;MarqueMed5
733;Medicament733;Cond8;CategoryMed45;MarqueMed17
734;Medicament734;Cond10;CategoryMed45;MarqueMed19
735;Medicament735;Cond7;CategoryMed14;MarqueMed20
736;Medicament736;Cond13;CategoryMed31;MarqueMed11
737;Medicament737;Cond11;CategoryMed4;MarqueMed19
738;Medicament738;Cond2;CategoryMed44;MarqueMed18
739;Medicament739;Cond12;CategoryMed44;MarqueMed14
740;Medicament740;Cond4;CategoryMed19;MarqueMed20
741;Medicament741;Cond1;CategoryMed31;MarqueMed11
742;Medicament742;Cond2;CategoryMed38;MarqueMed17
743;Medicament743;Cond7;CategoryMed49;MarqueMed17
744;Medicament744;Cond2;CategoryMed8;MarqueMed8
745;Medicament745;Cond4;CategoryMed37;MarqueMed13
746;Medicament746;Cond13;CategoryMed44;MarqueMed21
747;Medicament747;Cond8;CategoryMed25;MarqueMed9
748;Medicament748;Cond4;CategoryMed3;MarqueMed8
749;Medicament749;Cond3;CategoryMed34;MarqueMed16
750;Medicament750;Cond9;CategoryMed41;MarqueMed15
751;Medicament751;Cond13;CategoryMed32;MarqueMed9
752;Medicament752;Cond6;CategoryMed19;MarqueMed4
753;Medicament753;Cond7;CategoryMed11;MarqueMed7
754;Medicament754;Cond3;CategoryMed10;MarqueMed17
755;Medicament755;Cond9;CategoryMed11;MarqueMed19
756;Medicament756;Cond3;CategoryMed17;MarqueMed1
757;Medicament757;Cond1;CategoryMed3;MarqueMed22
758;Medicament758;Cond11;CategoryMed20;MarqueMed1
759;Medicament759;Cond3;CategoryMed39;MarqueMed11
760;Medicament760;Cond2;CategoryMed41;MarqueMed22
761;Medicament761;Cond6;CategoryMed17;MarqueMed3
762;Medicament762;Cond3;CategoryMed24;MarqueMed13
763;Medicament763;Cond11;CategoryMed48;MarqueMed3
764;Medicament764;Cond6;CategoryMed3;MarqueMed21
765;Medicament765;Cond10;CategoryMed49;MarqueMed11
766;Medicament766;Cond1;CategoryMed20;MarqueMed19
767;Medicament767;Cond4;CategoryMed23;MarqueMed11
768;Medicament768;Cond4;CategoryMed5;MarqueMed20
769;Medicament769;Cond6;CategoryMed36;MarqueMed22
770;Medicament770;Cond11;CategoryMed44;MarqueMed14
771;Medicament771;Cond11;CategoryMed2;MarqueMed6
772;Medicament772;Cond3;CategoryMed15;MarqueMed10
773;Medicament773;Cond12;CategoryMed19;MarqueMed9
774;Medicament774;Cond9;CategoryMed26;MarqueMed4
775;Medicament775;Cond13;CategoryMed39;MarqueMed4
776;Medicament776;Cond8;CategoryMed40;MarqueMed5
777;Medicament777;Cond9;CategoryMed21;MarqueMed3
778;Medicament778;Cond4;CategoryMed41;MarqueMed10
779;Medicament779;Cond13;CategoryMed39;MarqueMed22
780;Medicament780;Cond8;CategoryMed9;MarqueMed16
781;Medicament781;Cond13;CategoryMed23;MarqueMed6
782;Medicament782;Cond11;CategoryMed36;MarqueMed12
783;Medicament783;Cond4;CategoryMed49;MarqueMed8
784;Medicament784;Cond4;CategoryMed20;MarqueMed19
785;Medicament785;Cond13;CategoryMed12;MarqueMed2
786;Medicament786;Cond8;CategoryMed2;MarqueMed4
787;Medicament787;Cond8;CategoryMed38;MarqueMed2
788;Medicament788;Cond1;CategoryMed36;MarqueMed11
789;Medicament789;Cond11;CategoryMed43;MarqueMed4
790;Medicament790;Cond6;CategoryMed42;MarqueMed9
791;Medicament791;Cond1;CategoryMed30;MarqueMed17
792;Medicament792;Cond3;CategoryMed30;MarqueMed15
793;Medicament793;Cond8;CategoryMed50;MarqueMed12
794;Medicament794;Cond10;CategoryMed3;MarqueMed5
795;Medicament795;Cond2;CategoryMed23;MarqueMed13
796;Medicament796;Cond3;CategoryMed48;MarqueMed11
797;Medicament797;Cond8;CategoryMed21;MarqueMed1
798;Medicament798;Cond1;CategoryMed30;MarqueMed20
799;Medicament799;Cond12;CategoryMed31;MarqueMed5
800;Medicament800;Cond11;CategoryMed30;MarqueMed21
801;Medicament801;Cond5;CategoryMed18;MarqueMed20
802;Medicament802;Cond6;CategoryMed25;MarqueMed5
803;Medicament803;Cond2;CategoryMed31;MarqueMed12
804;Medicament804;Cond8;CategoryMed3;MarqueMed11
805;Medicament805;Cond13;CategoryMed6;MarqueMed4
806;Medicament806;Cond4;CategoryMed8;MarqueMed18
807;Medicament807;Cond1;CategoryMed1;MarqueMed14
808;Medicament808;Cond13;CategoryMed4;MarqueMed19
809;Medicament809;Cond2;CategoryMed36;MarqueMed22
810;Medicament810;Cond3;CategoryMed26;MarqueMed16
811;Medicament811;Cond1;CategoryMed28;MarqueMed14
812;Medicament812;Cond3;CategoryMed43;MarqueMed6
813;Medicament813;Cond4;CategoryMed7;MarqueMed5
814;Medicament814;Cond13;CategoryMed47;MarqueMed9
815;Medicament815;Cond13;CategoryMed28;MarqueMed10
816;Medicament816;Cond12;CategoryMed11;MarqueMed4
817;Medicament817;Cond10;CategoryMed7;MarqueMed11
818;Medicament818;Cond4;CategoryMed39;MarqueMed21
819;Medicament819;Cond13;CategoryMed26;MarqueMed16
820;Medicament820;Cond2;CategoryMed32;MarqueMed9
821;Medicament821;Cond8;CategoryMed46;MarqueMed21
822;Medicament822;Cond11;CategoryMed42;MarqueMed11
823;Medicament823;Cond11;CategoryMed50;MarqueMed3
824;Medicament824;Cond4;CategoryMed17;MarqueMed16
825;Medicament825;Cond2;CategoryMed43;MarqueMed14
826;Medicament826;Cond6;CategoryMed45;MarqueMed15
827;Medicament827;Cond4;CategoryMed46;MarqueMed21
828;Medicament828;Cond8;CategoryMed27;MarqueMed2
829;Medicament829;Cond13;CategoryMed46;MarqueMed16
830;Medicament830;Cond2;CategoryMed45;MarqueMed3
831;Medicament831;Cond4;CategoryMed17;MarqueMed14
832;Medicament832;Cond2;CategoryMed32;MarqueMed11
833;Medicament833;Cond2;CategoryMed41;MarqueMed14
834;Medicament834;Cond6;CategoryMed24;MarqueMed9
835;Medicament835;Cond13;CategoryMed10;MarqueMed14
836;Medicament836;Cond4;CategoryMed28;MarqueMed19
837;Medicament837;Cond10;CategoryMed8;MarqueMed4
838;Medicament838;Cond9;CategoryMed40;MarqueMed5
839;Medicament839;Cond11;CategoryMed33;MarqueMed13
840;Medicament840;Cond11;CategoryMed9;MarqueMed20
841;Medicament841;Cond12;CategoryMed33;MarqueMed22
842;Medicament842;Cond4;CategoryMed41;MarqueMed4
843;Medicament843;Cond9;CategoryMed14;MarqueMed14
844;Medicament844;Cond9;CategoryMed8;MarqueMed18
845;Medicament845;Cond4;CategoryMed37;MarqueMed16
846;Medicament846;Cond3;CategoryMed40;MarqueMed12
847;Medicament847;Cond13;CategoryMed15;MarqueMed2
848;Medicament848;Cond3;CategoryMed4;MarqueMed23
849;Medicament849;Cond6;CategoryMed10;MarqueMed11
850;Medicament850;Cond11;CategoryMed2;MarqueMed8
851;Medicament851;Cond8;CategoryMed16;MarqueMed7
852;Medicament852;Cond6;CategoryMed20;MarqueMed5
853;Medicament853;Cond10;CategoryMed11;MarqueMed15
854;Medicament854;Cond13;CategoryMed38;MarqueMed2
855;Medicament855;Cond12;CategoryMed8;MarqueMed19
856;Medicament856;Cond1;CategoryMed24;MarqueMed6
857;Medicament857;Cond6;CategoryMed34;MarqueMed11
858;Medicament858;Cond8;CategoryMed26;MarqueMed13
859;Medicament859;Cond2;CategoryMed18;MarqueMed2
860;Medicament860;Cond4;CategoryMed4;MarqueMed8
861;Medicament861;Cond3;CategoryMed48;MarqueMed2
862;Medicament862;Cond2;CategoryMed46;MarqueMed19
863;Medicament863;Cond4;CategoryMed15;MarqueMed7
864;Medicament864;Cond2;CategoryMed8;MarqueMed21
865;Medicament865;Cond3;CategoryMed9;MarqueMed1
866;Medicament866;Cond5;CategoryMed5;MarqueMed20
867;Medicament867;Cond11;CategoryMed37;MarqueMed21
868;Medicament868;Cond11;CategoryMed16;MarqueMed19
869;Medicament869;Cond7;CategoryMed48;MarqueMed20
870;Medicament870;Cond11;CategoryMed29;MarqueMed5
871;Medicament871;Cond10;CategoryMed8;MarqueMed6
872;Medicament872;Cond11;CategoryMed31;MarqueMed16
873;Medicament873;Cond5;CategoryMed25;MarqueMed12
874;Medicament874;Cond5;CategoryMed38;MarqueMed13
875;Medicament875;Cond1;CategoryMed27;MarqueMed5
876;Medicament876;Cond10;CategoryMed48;MarqueMed7
877;Medicament877;Cond12;CategoryMed19;MarqueMed23
878;Medicament878;Cond12;CategoryMed12;MarqueMed11
879;Medicament879;Cond13;CategoryMed6;MarqueMed2
880;Medicament880;Cond2;CategoryMed17;MarqueMed18
881;Medicament881;Cond10;CategoryMed12;MarqueMed6
882;Medicament882;Cond9;CategoryMed48;MarqueMed1
883;Medicament883;Cond12;CategoryMed20;MarqueMed14
884;Medicament884;Cond12;CategoryMed36;MarqueMed14
885;Medicament885;Cond8;CategoryMed49;MarqueMed9
886;Medicament886;Cond13;CategoryMed6;MarqueMed7
887;Medicament887;Cond9;CategoryMed13;MarqueMed6
888;Medicament888;Cond10;CategoryMed5;MarqueMed17
889;Medicament889;Cond4;CategoryMed18;MarqueMed9
890;Medicament890;Cond10;CategoryMed47;MarqueMed3
891;Medicament891;Cond1;CategoryMed50;MarqueMed10
892;Medicament892;Cond11;CategoryMed25;MarqueMed15
893;Medicament893;Cond6;CategoryMed29;MarqueMed21
894;Medicament894;Cond10;CategoryMed8;MarqueMed11
895;Medicament895;Cond9;CategoryMed36;MarqueMed12
896;Medicament896;Cond12;CategoryMed24;MarqueMed14
897;Medicament897;Cond3;CategoryMed50;MarqueMed16
898;Medicament898;Cond13;CategoryMed14;MarqueMed15
899;Medicament899;Cond11;CategoryMed21;MarqueMed6
900;Medicament900;Cond12;CategoryMed31;MarqueMed7
901;Medicament901;Cond1;CategoryMed21;MarqueMed12
902;Medicament902;Cond3;CategoryMed42;MarqueMed15
903;Medicament903;Cond1;CategoryMed39;MarqueMed23
904;Medicament904;Cond10;CategoryMed15;MarqueMed11
905;Medicament905;Cond6;CategoryMed20;MarqueMed22
906;Medicament906;Cond10;CategoryMed3;MarqueMed11
907;Medicament907;Cond4;CategoryMed46;MarqueMed20
908;Medicament908;Cond11;CategoryMed6;MarqueMed15
909;Medicament909;Cond13;CategoryMed46;MarqueMed8
910;Medicament910;Cond1;CategoryMed40;MarqueMed4
911;Medicament911;Cond2;CategoryMed9;MarqueMed10
912;Medicament912;Cond13;CategoryMed32;MarqueMed3
913;Medicament913;Cond5;CategoryMed3;MarqueMed19
914;Medicament914;Cond9;CategoryMed7;MarqueMed16
915;Medicament915;Cond8;CategoryMed11;MarqueMed13
916;Medicament916;Cond3;CategoryMed30;MarqueMed11
917;Medicament917;Cond3;CategoryMed18;MarqueMed12
918;Medicament918;Cond2;CategoryMed41;MarqueMed3
919;Medicament919;Cond4;CategoryMed50;MarqueMed4
920;Medicament920;Cond5;CategoryMed17;MarqueMed13
921;Medicament921;Cond10;CategoryMed26;MarqueMed16
922;Medicament922;Cond11;CategoryMed14;MarqueMed10
923;Medicament923;Cond13;CategoryMed46;MarqueMed4
924;Medicament924;Cond5;CategoryMed30;MarqueMed16
925;Medicament925;Cond2;CategoryMed8;MarqueMed15
926;Medicament926;Cond11;CategoryMed32;MarqueMed19
927;Medicament927;Cond8;CategoryMed45;MarqueMed9
928;Medicament928;Cond10;CategoryMed48;MarqueMed17
929;Medicament929;Cond6;CategoryMed39;MarqueMed19
930;Medicament930;Cond6;CategoryMed44;MarqueMed3
931;Medicament931;Cond12;CategoryMed18;MarqueMed12
932;Medicament932;Cond12;CategoryMed43;MarqueMed9
933;Medicament933;Cond7;CategoryMed45;MarqueMed4
934;Medicament934;Cond7;CategoryMed50;MarqueMed7
935;Medicament935;Cond13;CategoryMed33;MarqueMed1
936;Medicament936;Cond12;CategoryMed37;MarqueMed5
937;Medicament937;Cond3;CategoryMed46;MarqueMed9
938;Medicament938;Cond1;CategoryMed33;MarqueMed7
939;Medicament939;Cond4;CategoryMed17;MarqueMed21
940;Medicament940;Cond4;CategoryMed4;MarqueMed6
941;Medicament941;Cond3;CategoryMed48;MarqueMed8
942;Medicament942;Cond12;CategoryMed42;MarqueMed13
943;Medicament943;Cond11;CategoryMed37;MarqueMed7
944;Medicament944;Cond6;CategoryMed33;MarqueMed21
945;Medicament945;Cond11;CategoryMed32;MarqueMed5
946;Medicament946;Cond4;CategoryMed38;MarqueMed7
947;Medicament947;Cond5;CategoryMed18;MarqueMed1
948;Medicament948;Cond7;CategoryMed45;MarqueMed3
949;Medicament949;Cond7;CategoryMed22;MarqueMed3
950;Medicament950;Cond4;CategoryMed32;MarqueMed21
951;Medicament951;Cond13;CategoryMed40;MarqueMed4
952;Medicament952;Cond5;CategoryMed3;MarqueMed8
953;Medicament953;Cond2;CategoryMed29;MarqueMed7
954;Medicament954;Cond2;CategoryMed27;MarqueMed3
955;Medicament955;Cond9;CategoryMed15;MarqueMed5
956;Medicament956;Cond3;CategoryMed43;MarqueMed20
957;Medicament957;Cond7;CategoryMed8;MarqueMed4
